Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,21,ATL,NBA,PG,71,3,719,90,227,0.396,7,32,0.219,83,195,0.426,0.412,41,49,0.837,5,62,67,122,34,11,50,82,228
2010-11,22,ATL,NBA,PG,70,7,963,133,304,0.438,18,48,0.375,115,256,0.449,0.467,77,97,0.794,11,91,102,138,45,25,64,82,361
2011-12,23,ATL,NBA,PG,66,66,2183,320,672,0.476,51,149,0.342,269,523,0.514,0.514,140,185,0.757,21,138,159,321,106,37,134,145,831
2012-13,24,ATL,NBA,PG,80,78,2628,439,974,0.451,89,248,0.359,350,726,0.482,0.496,199,226,0.881,25,155,180,579,117,28,230,181,1166
2013-14,25,ATL,NBA,PG,79,79,2542,456,1040,0.438,74,225,0.329,382,815,0.469,0.474,318,376,0.846,34,174,208,528,89,17,232,158,1304
2014-15 ★,26,ATL,NBA,PG,73,72,2228,408,887,0.46,71,207,0.343,337,680,0.496,0.5,275,319,0.862,30,154,184,513,125,31,205,139,1162
2015-16,27,ATL,NBA,PG,19,18,572,108,253,0.427,23,61,0.377,85,192,0.443,0.472,75,89,0.843,11,41,52,121,23,8,53,41,314
