Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,20,OKC,NBA,SF,23,0,147,24,68,0.353,9,30,0.3,15,38,0.395,0.419,14,14,1,5,13,18,5,2,2,6,13,71
2013-14,21,OKC,NBA,SG,78,0,1538,263,609,0.432,88,247,0.356,175,362,0.483,0.504,51,64,0.797,27,162,189,115,56,26,61,143,665
2014-15,22,OKC,NBA,SG,47,8,633,104,250,0.416,38,111,0.342,66,139,0.475,0.492,49,55,0.891,8,99,107,44,21,6,27,52,295
2015-16,23,CHO,NBA,SG,19,0,460,95,193,0.492,24,70,0.343,71,123,0.577,0.554,20,31,0.645,15,78,93,28,8,10,17,28,234
