Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,21,HOU,NBA,PF,19,0,276,43,94,0.457,5,19,0.263,38,75,0.507,0.484,13,17,0.765,28,37,65,15,12,19,13,21,104
2013-14,22,HOU,NBA,PF,76,71,2078,386,712,0.542,31,101,0.307,355,611,0.581,0.564,118,195,0.605,162,366,528,87,53,99,71,139,921
2014-15,23,HOU,NBA,PF,33,24,889,158,299,0.528,13,37,0.351,145,262,0.553,0.55,57,94,0.606,78,142,220,36,18,59,37,78,386
2015-16,24,HOU,NBA,PF,16,9,415,70,151,0.464,12,31,0.387,58,120,0.483,0.503,31,50,0.62,32,55,87,17,6,16,21,33,183
