Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,19,DET,NBA,C,60,10,1243,208,342,0.608,1,2,0.5,207,340,0.609,0.61,59,159,0.371,169,288,457,30,59,95,57,144,476
2013-14,20,DET,NBA,C,81,81,2619,479,769,0.623,0,2,0,479,767,0.625,0.623,137,328,0.418,440,631,1071,35,101,131,110,273,1095
2014-15,21,DET,NBA,C,82,82,2502,494,961,0.514,0,2,0,494,959,0.515,0.514,142,365,0.389,437,667,1104,55,73,153,120,285,1130
2015-16,22,DET,NBA,C,21,21,732,165,313,0.527,0,1,0,165,312,0.529,0.527,58,155,0.374,118,237,355,17,39,31,46,64,388
