Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,20,NJN,NBA,C,82,75,2501,448,844,0.531,0,2,0,448,842,0.532,0.531,172,217,0.793,225,440,665,86,44,151,147,257,1068
2009-10,21,NJN,NBA,C,82,82,3027,563,1129,0.499,0,2,0,563,1127,0.5,0.499,416,509,0.817,270,439,709,187,55,139,204,251,1542
2010-11,22,NJN,NBA,C,82,82,2889,644,1309,0.492,0,1,0,644,1308,0.492,0.492,385,489,0.787,197,291,488,129,47,120,176,240,1673
2011-12,23,NJN,NBA,C,5,5,136,38,77,0.494,0,0,,38,77,0.494,0.494,20,32,0.625,8,10,18,6,1,4,6,8,96
2012-13 ★,24,BRK,NBA,C,74,74,2253,570,1094,0.521,0,1,0,570,1093,0.522,0.521,297,392,0.758,208,304,512,70,33,154,131,152,1437
2013-14,25,BRK,NBA,C,17,17,533,129,229,0.563,0,1,0,129,228,0.566,0.563,94,115,0.817,39,63,102,16,9,30,28,52,352
2014-15,26,BRK,NBA,C,72,44,2100,506,987,0.513,1,10,0.1,505,977,0.517,0.513,223,274,0.814,214,321,535,50,43,126,104,206,1236
2015-16,27,BRK,NBA,C,20,20,683,159,333,0.477,0,3,0,159,330,0.482,0.477,83,103,0.806,57,104,161,36,13,43,43,63,401
