Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,22,SAC,NBA,C,18,0,109,12,27,0.444,0,0,,12,27,0.444,0.444,5,12,0.417,16,23,39,0,3,15,5,12,29
2014-15,25,MIA,NBA,C,48,32,1142,243,387,0.628,0,0,,243,387,0.628,0.628,78,156,0.5,145,337,482,6,27,123,58,129,564
2015-16,26,MIA,NBA,C,19,19,540,103,167,0.617,0,0,,103,167,0.617,0.617,42,82,0.512,52,148,200,4,12,85,35,40,248
