Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,22,CHI,NBA,C,74,31,1534,177,367,0.482,0,1,0,177,366,0.484,0.482,134,194,0.691,174,242,416,84,68,64,89,173,488
2008-09,23,CHI,NBA,C,80,55,1938,207,372,0.556,0,1,0,207,371,0.558,0.556,123,182,0.676,244,362,606,106,49,110,82,238,537
2009-10,24,CHI,NBA,C,64,54,1925,262,520,0.504,0,0,,262,520,0.504,0.504,163,219,0.744,220,484,704,132,32,100,117,198,687
2010-11,25,CHI,NBA,C,48,48,1576,211,402,0.525,0,1,0,211,401,0.526,0.525,139,188,0.739,182,316,498,107,48,72,90,156,561
2011-12,26,CHI,NBA,C,64,64,1945,249,490,0.508,0,1,0,249,489,0.509,0.508,154,206,0.748,242,387,629,160,41,92,92,162,652
2012-13 ★,27,CHI,NBA,C,66,64,2426,303,630,0.481,0,5,0,303,625,0.485,0.481,178,237,0.751,260,473,733,262,78,141,176,185,784
2013-14 ★,28,CHI,NBA,C,80,80,2820,380,800,0.475,0,2,0,380,798,0.476,0.475,247,335,0.737,282,618,900,431,99,121,194,245,1007
2014-15,29,CHI,NBA,C,67,67,2049,190,427,0.445,0,2,0,190,425,0.447,0.445,105,174,0.603,219,427,646,312,48,74,123,203,485
2015-16,30,CHI,NBA,C,17,0,366,23,63,0.365,0,0,,23,63,0.365,0.365,11,27,0.407,43,101,144,59,9,16,31,45,57
