Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,24,HOU,NBA,PF,42,0,711,135,219,0.616,0,1,0,135,218,0.619,0.616,72,109,0.661,96,111,207,21,17,7,26,98,342
2008-09,25,HOU,NBA,PF,69,0,1467,240,418,0.574,1,3,0.333,239,415,0.576,0.575,157,193,0.813,124,219,343,39,26,31,68,166,638
2009-10,26,TOT,NBA,PF,80,29,2469,499,931,0.536,1,3,0.333,498,928,0.537,0.537,344,427,0.806,188,280,468,66,55,63,136,234,1343
2010-11,27,TOT,NBA,PF,76,26,2008,345,687,0.502,0,4,0,345,683,0.505,0.502,213,288,0.74,165,182,347,63,40,32,109,196,903
2011-12,28,NOH,NBA,PF,41,8,999,182,362,0.503,0,3,0,182,359,0.507,0.503,147,184,0.799,78,136,214,38,13,12,64,89,511
2012-13,29,GSW,NBA,PF,81,2,1876,325,602,0.54,1,3,0.333,324,599,0.541,0.541,223,273,0.817,180,303,483,65,35,31,115,190,874
2013-14,30,SAC,NBA,PF,18,1,233,31,60,0.517,0,0,,31,60,0.517,0.517,14,17,0.824,15,42,57,5,3,1,9,34,76
2014-15,31,SAC,NBA,PF,70,15,1192,190,369,0.515,0,0,,190,369,0.515,0.515,123,150,0.82,99,169,268,26,15,17,54,132,503
