Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,22,GSW,NBA,SF,79,1,1061,84,257,0.327,14,67,0.209,70,190,0.368,0.354,45,55,0.818,58,202,260,53,42,25,51,159,227
2013-14,23,GSW,NBA,SF,82,12,1797,187,459,0.407,55,165,0.333,132,294,0.449,0.467,82,123,0.667,86,323,409,152,102,72,91,231,511
2014-15,24,GSW,NBA,PF,79,79,2490,339,765,0.443,111,329,0.337,228,436,0.523,0.516,132,200,0.66,114,533,647,291,123,99,133,253,921
2015-16,25,GSW,NBA,PF,21,21,712,97,212,0.458,29,78,0.372,68,134,0.507,0.526,47,66,0.712,34,144,178,151,21,30,60,66,270
