Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,20,CHI,NBA,PG,81,80,3000,574,1208,0.475,16,72,0.222,558,1136,0.491,0.482,197,250,0.788,96,221,317,512,66,18,202,125,1361
2009-10 ★,21,CHI,NBA,PG,78,78,2871,672,1373,0.489,16,60,0.267,656,1313,0.5,0.495,259,338,0.766,65,228,293,469,57,27,217,96,1619
2010-11 ★,22,CHI,NBA,PG,81,81,3026,711,1597,0.445,128,385,0.332,583,1212,0.481,0.485,476,555,0.858,81,249,330,623,85,51,278,136,2026
2011-12 ★,23,CHI,NBA,PG,39,39,1375,302,695,0.435,54,173,0.312,248,522,0.475,0.473,194,239,0.812,26,105,131,307,35,28,119,52,852
2012-13,24,CHI,NBA,PG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-14,25,CHI,NBA,PG,10,10,311,58,164,0.354,16,47,0.34,42,117,0.359,0.402,27,32,0.844,9,23,32,43,5,1,34,15,159
2014-15,26,CHI,NBA,PG,51,51,1530,338,835,0.405,76,271,0.28,262,564,0.465,0.45,152,187,0.813,35,126,161,251,36,16,161,63,904
2015-16,27,CHI,NBA,PG,16,16,529,89,251,0.355,9,41,0.22,80,210,0.381,0.373,32,42,0.762,6,53,59,95,11,6,41,25,219
