Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,21,ATL,NBA,C,81,77,2540,333,668,0.499,0,5,0,333,663,0.502,0.499,155,212,0.731,248,537,785,124,60,76,137,267,821
2008-09,22,ATL,NBA,C,67,67,2242,312,594,0.525,0,1,0,312,593,0.526,0.525,149,205,0.727,145,479,624,163,53,95,103,190,773
2009-10 ★,23,ATL,NBA,C,81,81,2845,467,847,0.551,1,1,1,466,846,0.551,0.552,213,270,0.789,236,563,799,189,59,91,122,225,1148
2010-11 ★,24,ATL,NBA,C,77,77,2704,513,921,0.557,2,4,0.5,511,917,0.557,0.558,150,188,0.798,182,536,718,266,59,80,119,193,1178
2011-12,25,ATL,NBA,C,11,11,348,57,103,0.553,0,1,0,57,102,0.559,0.553,22,30,0.733,26,51,77,24,10,14,16,21,136
2012-13,26,ATL,NBA,C,74,74,2756,576,1060,0.543,3,6,0.5,573,1054,0.544,0.545,134,208,0.644,195,562,757,240,78,78,147,163,1289
2013-14,27,ATL,NBA,C,29,29,958,238,420,0.567,4,11,0.364,234,409,0.572,0.571,58,85,0.682,66,178,244,76,27,44,64,56,538
2014-15 ★,28,ATL,NBA,C,76,76,2318,519,965,0.538,11,36,0.306,508,929,0.547,0.544,107,141,0.759,131,413,544,244,68,98,100,121,1156
2015-16,29,ATL,NBA,C,22,22,690,142,289,0.491,26,72,0.361,116,217,0.535,0.536,38,45,0.844,52,110,162,64,14,33,30,37,348
