ilkid,position,year,firstname,lastname,team,Season #,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
ABDULKA01,1,1984,Kareem,Abdul-jabbar,LAL,15,N,79,2630,1735,162,460,622,249,63,162,197,238,1207,723,395,289,1,0
ABDULKA01,1,1985,Kareem,Abdul-jabbar,LAL,16,N,79,2629,1846,133,345,478,280,67,130,203,248,1338,755,439,336,2,0
ABDULKA01,1,1986,Kareem,Abdul-jabbar,LAL,17,N,78,2441,1366,152,371,523,203,49,97,186,245,993,560,343,245,3,1
CUMMITE01,0,1997,Terry,Cummings,TOT,15,N,74,1185,467,97,186,283,47,38,10,51,181,428,200,98,67,1,0
CUMMITE01,0,1998,Terry,Cummings,GSW,16,N,50,1011,454,95,160,255,58,46,10,58,168,424,186,114,81,1,1
CUMMITE01,0,1999,Terry,Cummings,GSW,17,N,22,398,184,45,62,107,21,13,8,27,74,177,76,39,32,0,0
EDWARJA01,1,1992,James,Edwards,LAL,15,N,52,617,328,30,70,100,41,10,7,51,122,270,122,118,84,0,0
EDWARJA01,1,1993,James,Edwards,LAL,16,N,45,469,210,11,54,65,22,4,3,30,90,168,78,79,54,0,0
EDWARJA01,1,1994,James,Edwards,POR,17,N,28,266,75,10,33,43,8,5,8,14,44,83,32,17,11,0,0
JOHNSED03,0,1996,Eddie,Johnson,TOT,15,N,52,913,424,27,111,138,52,15,2,47,81,362,160,68,55,131,49
JOHNSED03,0,1997,Eddie,Johnson,HOU,16,N,75,1490,633,50,103,153,88,32,3,62,89,544,227,136,113,198,66
JOHNSED03,0,1998,Eddie,Johnson,HOU,17,N,3,18,12,0,2,2,1,0,0,2,3,13,6,0,0,1,0
MAHORRI01,0,1995,Rick,Mahorn,NJN,15,N,50,450,120,31,79,110,16,14,13,30,72,122,43,47,34,1,0
MAHORRI01,0,1996,Rick,Mahorn,DET,16,N,22,218,56,19,34,53,6,4,3,10,34,54,20,22,16,1,0
MAHORRI01,0,1997,Rick,Mahorn,DET,17,N,59,707,141,65,130,195,15,14,7,37,123,129,59,34,23,0,0
MALONKA01,0,2000,Karl,Malone,UTA,15,N,81,2895,1878,114,555,669,361,93,62,244,216,1345,670,676,536,5,2
MALONKA01,0,2001,Karl,Malone,UTA,16,N,80,3040,1788,142,544,686,341,152,59,263,229,1399,635,639,509,25,9
MALONKA01,0,2002,Karl,Malone,UTA,17,N,81,2936,1667,113,515,628,379,136,31,210,204,1289,595,621,474,14,3
MALONMO01,1,1989,Moses,Malone,ATL,15,N,81,2735,1528,364,448,812,130,47,84,232,158,1077,517,631,493,9,1
MALONMO01,1,1990,Moses,Malone,ATL,16,N,82,1912,869,271,396,667,68,30,74,137,134,598,280,372,309,7,0
MALONMO01,1,1991,Moses,Malone,MIL,17,N,82,2511,1279,320,424,744,93,74,64,150,136,929,440,504,396,8,3
MILLERE01,2,2002,Reggie,Miller,IND,15,N,70,2117,882,21,151,172,170,62,4,66,89,637,281,230,207,318,113
MILLERE01,2,2003,Reggie,Miller,IND,16,N,80,2254,800,18,170,188,249,65,11,68,96,594,260,165,146,334,134
MILLERE01,2,2004,Reggie,Miller,IND,17,N,66,2106,974,18,138,156,146,50,5,77,109,719,314,268,250,298,96
MUTOMDI01,1,2006,Dikembe,Mutombo,HOU,15,N,75,1291,230,164,324,488,13,22,76,38,156,153,85,87,60,0,0
MUTOMDI01,1,2007,Dikembe,Mutombo,HOU,16,N,39,618,118,68,131,199,5,11,48,17,55,80,43,45,32,0,0
MUTOMDI01,1,2008,Dikembe,Mutombo,HOU,17,N,10,95,16,12,21,33,0,0,11,6,11,13,5,9,6,0,0
OAKLECH01,0,2000,Charles,Oakley,TOR,15,N,78,2767,748,142,599,741,264,76,48,139,258,786,305,152,127,49,11
OAKLECH01,0,2001,Charles,Oakley,CHI,16,N,57,1385,216,72,271,343,114,49,11,87,175,263,97,28,21,6,1
OAKLECH01,0,2002,Charles,Oakley,WAS,17,N,42,514,74,37,70,107,40,13,6,21,90,55,23,34,28,0,0
OLAJUHA01,1,1999,Hakeem,Olajuwon,HOU,15,N,44,1049,455,65,209,274,61,41,70,73,88,421,193,112,69,2,0
OLAJUHA01,1,2000,Hakeem,Olajuwon,HOU,16,N,58,1545,689,124,307,431,72,70,88,81,141,568,283,198,123,1,0
OLAJUHA01,1,2001,Hakeem,Olajuwon,TOR,17,N,61,1379,435,98,268,366,66,74,90,98,147,418,194,84,47,2,0
ONEASH01,1,2007,Shaquille,O'Neal,TOT,15,N,61,1750,832,166,388,554,93,32,88,181,228,558,331,338,170,0,0
ONEASH01,1,2008,Shaquille,O'Neal,PHO,16,N,75,2254,1333,187,446,633,126,49,108,168,253,841,512,519,309,1,0
ONeaSh01,1,2009,Shaquille,O'Neal,CLE,17,N,53,1240,636,93,262,355,80,15,62,105,169,463,262,226,112,1,0
PARISRO01,1,1991,Robert,Parish,BOS,15,N,79,2285,1115,219,486,705,70,68,97,131,172,874,468,232,179,0,0
PARISRO01,1,1992,Robert,Parish,BOS,16,N,79,2146,994,246,494,740,61,57,107,120,201,777,416,235,162,0,0
PARISRO01,1,1993,Robert,Parish,BOS,17,N,74,1987,866,141,401,542,82,42,96,108,190,725,356,208,154,0,0
ROBINCL02,0,2004,Cliff,Robinson,TOT,15,N,71,1688,533,54,155,209,104,62,53,66,181,523,202,97,62,193,67
ROBINCL02,0,2005,Cliff,Robinson,NJN,16,N,80,1861,550,55,212,267,89,44,40,62,206,513,219,79,52,175,60
