ilkid,position,year,firstname,lastname,team,Season #,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
ABDULKA01,1,1975,Kareem,Abdul-jabbar,LAL,6,N,82,3379,2275,272,1111,1383,413,119,338,0,292,1728,914,636,447,0,0
ABDULKA01,1,1976,Kareem,Abdul-jabbar,LAL,7,N,82,3016,2152,266,824,1090,319,101,261,0,262,1533,888,536,376,0,0
ABDULKA01,1,1977,Kareem,Abdul-jabbar,LAL,8,N,62,2265,1600,186,615,801,269,103,185,208,182,1205,663,350,274,0,0
ABDURSH01,0,2002,Shareef,Abdur-Rahim,ATL,6,N,81,3087,1608,175,502,677,242,87,38,212,240,1183,566,541,455,60,21
ABDURSH01,0,2003,Shareef,Abdur-rahim,TOT,7,N,85,2685,1384,189,450,639,174,68,37,184,222,1054,501,429,373,34,9
ABDURSH01,0,2004,Shareef,Abdur-Rahim,POR,8,N,54,1868,909,123,269,392,111,49,26,117,150,670,337,254,220,39,15
ADAMSAL01,1,1981,Alvan,Adams,PHO,6,N,79,2393,1196,138,448,586,356,114,78,196,269,1027,507,233,182,1,0
ADAMSAL01,1,1982,Alvan,Adams,PHO,7,N,80,2447,1135,161,387,548,376,114,74,242,287,981,477,217,180,3,1
ADAMSAL01,1,1983,Alvan,Adams,PHO,8,N,70,1452,670,118,201,319,219,73,31,117,195,582,269,160,132,4,0
ADAMSMI01,2,1991,Michael,Adams,WA1,6,N,78,2795,1408,58,252,310,594,145,9,212,162,1233,485,360,313,386,125
ADAMSMI01,2,1992,Michael,Adams,WA1,7,N,70,2499,1035,52,188,240,526,100,4,175,146,831,365,277,237,212,68
ADAMSMI01,2,1993,Michael,Adams,WA1,8,N,70,2337,849,37,146,183,480,96,6,167,140,698,285,270,224,191,55
AGUIRMA01,0,1987,Mark,Aguirre,DAL,6,N,77,2610,1932,182,252,434,278,70,57,203,223,1571,746,504,388,172,52
AGUIRMA01,0,1988,Mark,Aguirre,TOT,7,N,80,2597,1511,146,240,386,278,45,36,208,229,1270,586,393,288,174,51
AGUIRMA01,0,1989,Mark,Aguirre,DET,8,N,78,2005,1099,117,188,305,145,34,19,121,201,898,438,254,192,93,31
AINGEDA01,2,1987,Danny,Ainge,BOS,6,N,81,3018,1270,59,190,249,503,115,17,153,203,982,482,180,158,357,148
AINGEDA01,2,1988,Danny,Ainge,TOT,7,N,73,2377,1281,71,184,255,402,93,8,145,186,1051,480,240,205,305,116
AINGEDA01,2,1989,Danny,Ainge,SAC,8,N,75,2727,1342,69,257,326,453,113,18,185,238,1154,506,267,222,289,108
ALLENLU01,2,1975,Lucius,Allen,LAL,6,N,76,2388,1119,64,150,214,357,101,20,0,241,1004,461,254,197,0,0
ALLENLU01,2,1976,Lucius,Allen,LAL,7,N,78,2482,1139,58,193,251,405,116,19,0,183,1035,472,252,195,0,0
ALLENLU01,2,1977,Lucius,Allen,KCK,8,N,77,2147,920,66,163,229,360,93,28,217,180,846,373,220,174,0,0
ALLENMA01,0,2007,Malik,Allen,TOT,6,N,73,1098,338,66,130,196,44,19,31,45,149,326,157,25,23,3,1
ALLENMA01,0,2008,Malik,Allen,MIL,7,N,49,578,156,35,68,103,35,7,12,20,89,170,73,21,10,1,0
AllenMa01,0,2009,Malik,Allen,DEN,8,N,51,456,105,36,46,82,16,11,5,22,68,116,46,13,12,6,1
ALLENRA02,2,2002,Ray,Allen,TOT,6,N,76,2880,1713,94,287,381,334,103,14,198,220,1363,598,345,316,533,201
ALLENRA02,2,2003,Ray,Allen,SEA,7,N,56,2152,1287,69,217,286,268,71,11,156,132,1017,447,271,245,378,148
ALLENRA02,2,2004,Ray,Allen,SEA,8,N,78,3065,1867,79,268,347,289,84,5,171,167,1494,640,428,378,556,209
ALSTORA01,2,2005,Rafer,Alston,HOU,6,N,63,2431,761,36,219,255,425,101,15,157,194,738,280,143,99,312,102
ALSTORA01,2,2006,Rafer,Alston,HOU,7,N,82,3037,1085,29,253,282,444,129,10,170,195,1019,382,177,130,528,191
ALSTORA01,2,2007,Rafer,Alston,HOU,8,N,74,2527,969,28,232,260,392,98,18,160,139,924,364,137,98,407,143
ANDERCA01,0,1993,Cadillac,Anderson,DET,6,N,77,1624,491,183,388,571,51,55,68,94,234,370,201,154,88,3,1
ANDERCA01,0,1994,Cadillac,Anderson,ATL,7,N,51,622,148,62,126,188,17,23,32,32,103,104,57,71,34,0,0
ANDERCA01,0,1995,Cadillac,Anderson,SAS,8,N,46,344,54,29,71,100,10,9,24,22,66,47,24,25,6,1,0
ANDERCH01,0,2007,Chris,Andersen,NOH,6,N,5,34,6,2,7,9,0,0,4,1,6,7,2,4,2,0,0
ANDERCH01,0,2008,Chris,Andersen,DEN,7,N,71,1463,452,163,279,442,31,41,175,69,174,292,160,181,130,10,2
AnderCh01,0,2009,Chris,Andersen,DEN,8,N,76,1692,448,147,336,483,33,42,143,59,171,251,142,236,164,3,0
ANDERDE01,2,2003,Derek,Anderson,POR,6,N,51,1810,694,26,156,182,228,66,3,90,79,612,230,188,155,259,79
ANDERDE01,2,2004,Derek,Anderson,POR,7,N,47,1239,432,25,103,128,143,36,4,70,89,391,152,87,70,151,58
ANDERDE01,2,2005,Derek,Anderson,TOT,8,N,43,1048,349,21,122,143,101,23,6,54,98,303,108,111,93,134,40
ANDERKE02,2,1997,Kenny,Anderson,TOT,6,N,61,1858,746,39,134,173,345,87,1,143,135,674,268,194,153,160,57
ANDERKE02,2,1998,Kenny,Anderson,BOS,7,N,34,1010,412,24,79,103,193,33,2,71,78,357,161,101,84,24,6
ANDERKE02,2,1999,Kenny,Anderson,BOS,8,N,82,2593,1149,55,170,225,420,139,8,130,230,986,434,253,196,220,85
ANDERNI01,2,1995,Nick,Anderson,ORL,6,N,77,2717,1134,92,323,415,279,121,46,141,135,904,400,240,166,430,168
ANDERNI01,2,1996,Nick,Anderson,ORL,7,N,63,2163,757,66,238,304,182,120,32,86,160,725,288,94,38,405,143
ANDERNI01,2,1997,Nick,Anderson,ORL,8,N,58,1701,890,98,199,297,119,72,23,85,98,754,343,199,127,214,77
ANDERRO01,0,1990,Ron,Anderson,PHI,6,N,82,2340,1198,103,264,367,115,65,13,100,163,1055,512,198,165,43,9
ANDERRO01,0,1991,Ron,Anderson,PHI,7,N,82,2432,1123,96,182,278,135,86,11,109,128,1008,469,163,143,127,42
ANDERRO01,0,1992,Ron,Anderson,PHI,8,N,69,1263,561,62,122,184,93,31,5,63,75,544,225,89,72,120,39
ANDERSH01,2,2002,Shandon,Anderson,NYK,6,N,82,1731,687,64,190,254,87,73,20,114,177,537,248,190,139,140,52
ANDERSH01,2,2003,Shandon,Anderson,NYK,7,N,80,1974,635,53,169,222,122,68,17,118,182,564,238,161,123,128,36
ANDERSH01,2,2004,Shandon,Anderson,TOT,8,N,66,1171,255,41,150,191,70,40,14,50,138,217,98,66,54,29,5
ANDERWI01,2,1994,Willie,Anderson,SAS,6,N,38,556,185,15,40,55,52,26,10,38,71,162,76,41,30,19,3
ANDERWI01,2,1995,Willie,Anderson,TOT,7,N,76,2060,742,48,198,246,197,75,59,143,230,660,288,163,132,120,34
ANDERWI01,2,1996,Willie,Anderson,MIA,8,N,28,303,83,15,27,42,34,14,4,19,36,64,29,20,17,19,8
