ilkid,position,year,firstname,lastname,team,Season #,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
ABDULKA01,1,1980,Kareem,Abdul-jabbar,LAL,11,N,80,2976,2095,197,624,821,272,59,228,249,244,1457,836,552,423,1,0
ABDULKA01,1,1981,Kareem,Abdul-jabbar,LAL,12,N,76,2677,1818,172,487,659,225,63,207,230,224,1301,753,442,312,3,0
ABDULKA01,1,1982,Kareem,Abdul-jabbar,LAL,13,N,79,2554,1722,167,425,592,200,61,170,200,220,1228,722,371,278,2,0
AINGEDA01,2,1992,Danny,Ainge,PHO,11,N,80,2163,947,49,165,214,260,69,8,113,175,730,337,145,123,372,150
AINGEDA01,2,1993,Danny,Ainge,PHO,12,N,68,1555,606,28,103,131,180,57,8,81,140,537,224,94,78,244,80
AINGEDA01,2,1994,Danny,Ainge,PHO,13,N,74,1374,571,25,84,109,210,46,7,79,155,422,194,130,105,214,78
ALLENRA02,2,2007,Ray,Allen,BOS,11,N,73,2622,1273,75,193,268,225,65,16,127,147,987,439,237,215,452,180
ALLENRA02,2,2008,Ray,Allen,BOS,12,N,79,2870,1434,66,212,278,218,69,13,134,157,1040,499,249,237,486,199
AllenRa02,2,2009,Ray,Allen,BOS,13,N,80,2819,1304,45,208,253,210,64,25,129,182,973,464,253,231,399,145
ANDERKE02,2,2002,Kenny,Anderson,TOT,11,N,61,1135,372,31,101,132,198,58,5,75,106,382,163,57,45,7,1
ANDERKE02,2,2003,Kenny,Anderson,IND,12,N,44,905,262,19,62,81,125,26,5,50,73,256,113,48,35,4,1
ANDERKE02,2,2004,Kenny,Anderson,TOT,13,N,43,743,203,24,64,88,103,34,1,48,87,201,85,37,27,13,6
ARCHINA01,2,1981,Nate,Archibald,BOS,11,N,68,2167,858,25,91,116,541,52,3,178,131,652,308,316,236,16,6
ARCHINA01,2,1982,Nate,Archibald,BOS,12,N,66,1811,695,25,66,91,409,38,4,163,110,553,235,296,220,24,5
ARCHINA01,2,1983,Nate,Archibald,MIL,13,N,46,1038,340,16,60,76,160,33,0,78,78,279,136,101,64,18,4
ARMSTDA01,2,2005,Darrell,Armstrong,DAL,11,N,62,621,130,18,63,81,86,27,3,58,71,128,43,42,33,48,11
ARMSTDA01,2,2006,Darrell,Armstrong,IND,12,N,81,1275,457,34,101,135,191,70,6,76,102,377,156,93,73,214,72
ARMSTDA01,2,2007,Darrell,Armstrong,NJN,13,N,50,547,123,17,51,68,73,28,2,41,54,110,40,30,20,69,23
AUGMOST01,2,2002,Stacey,Augmon,NOH,11,N,70,862,212,26,93,119,69,27,9,40,80,192,79,72,54,7,0
AUGMOST01,2,2003,Stacey,Augmon,NOH,12,N,69,1415,397,52,122,174,85,55,15,76,114,347,143,139,110,7,1
AUGMOST01,2,2004,Stacey,Augmon,ORL,13,N,55,663,193,45,54,99,36,23,8,31,83,167,68,77,57,0,0
BARKLCH01,0,1995,Charles,Barkley,PHO,11,N,71,2632,1649,243,578,821,262,114,56,218,208,1160,580,566,440,175,49
BARKLCH01,0,1996,Charles,Barkley,HOU,12,N,53,2009,1016,212,504,716,248,69,25,151,153,692,335,415,288,205,58
BARKLCH01,0,1997,Charles,Barkley,HOU,13,N,68,2243,1036,241,553,794,217,71,28,147,187,744,361,397,296,84,18
BARRYBR01,2,2006,Brent,Barry,SAS,11,N,75,1633,635,17,143,160,138,56,12,61,88,425,202,117,103,287,128
BARRYBR01,2,2007,Brent,Barry,SAS,12,N,31,554,221,12,43,55,54,17,3,18,43,160,77,20,19,112,48
BARRYBR01,2,2008,Brent,Barry,HOU,13,N,56,855,208,17,77,94,78,24,3,48,45,172,70,20,19,131,49
BARRYJO01,2,2003,Jon,Barry,DEN,11,N,57,1101,351,25,98,123,147,57,8,53,66,297,120,71,60,138,51
BARRYJO01,2,2004,Jon,Barry,TOT,12,N,69,1505,455,26,133,159,167,60,9,67,95,368,161,71,62,165,71
BARRYJO01,2,2005,Jon,Barry,HOU,13,N,20,341,86,1,30,31,26,13,1,22,25,65,25,29,24,32,12
BARRYRI01,0,1976,Rick,Barry,GSW,11,N,79,2904,1723,73,349,422,475,172,58,0,194,1551,682,392,359,0,0
BARRYRI01,0,1977,Rick,Barry,GSW,12,N,82,3024,1898,75,374,449,446,158,45,224,188,1686,760,409,378,0,0
BARRYRI01,0,1978,Rick,Barry,HOU,13,N,80,2566,1082,40,237,277,502,95,38,198,195,1000,461,169,160,0,0
BENJABE01,1,1996,Benoit,Benjamin,TOR,11,N,4,44,13,3,6,9,1,1,0,2,5,12,5,4,3,0,0
BENJABE01,1,1997,Benoit,Benjamin,PHI,12,N,14,197,63,18,35,53,3,4,4,12,26,41,22,30,19,0,0
BENJABE01,1,1998,Benoit,Benjamin,PHI,13,N,6,33,4,3,5,8,1,0,0,3,6,7,2,0,0,0,0
BOGUEMU01,2,1998,Muggsy,Bogues,GSW,11,N,36,714,183,16,57,73,134,43,1,47,44,154,76,36,31,6,0
BOGUEMU01,2,1999,Muggsy,Bogues,TOR,12,N,80,1731,410,25,110,135,299,65,4,59,119,358,157,87,79,51,17
BOGUEMU01,2,2000,Muggsy,Bogues,TOR,13,N,3,34,0,0,3,3,5,2,0,4,3,2,0,0,0,1,0
BROWNPJ01,0,2004,P.J.,Brown,NOH,11,N,82,2817,886,266,471,737,178,74,50,101,233,758,338,243,210,0,0
BROWNPJ01,0,2005,P.J.,Brown,NOO,12,N,75,2382,677,182,365,547,90,46,50,90,216,583,269,168,139,0,0
BROWNPJ01,0,2006,P.J.,Brown,CHI,13,N,72,1453,436,129,218,347,48,24,52,85,187,418,170,122,96,2,0
BRYANKO01,2,2007,Kobe,Bryant,LAL,11,N,82,3193,2323,94,422,516,442,151,40,257,227,1690,775,742,623,415,150
BRYANKO01,2,2008,Kobe,Bryant,LAL,12,N,82,2965,2201,90,339,429,399,120,37,210,189,1712,800,564,483,336,118
BryanKo01,2,2009,Kobe,Bryant,LAL,13,N,73,2835,1970,78,313,391,365,113,20,233,187,1569,716,541,439,301,99
BRYANMA01,0,1999,Mark,Bryant,CLE,11,N,75,1712,424,126,226,352,61,31,31,87,250,346,174,94,76,0,0
BRYANMA01,0,2000,Mark,Bryant,DAL,12,N,18,101,19,4,17,21,3,1,2,5,29,20,8,5,3,0,0
BRYANMA01,0,2001,Mark,Bryant,SAS,13,N,30,207,56,25,20,45,10,7,2,6,38,55,25,8,6,0,0
CAGEMI01,1,1995,Michael,Cage,CLE,11,N,82,2631,490,288,441,729,53,87,79,54,215,396,220,92,50,1,0
CAGEMI01,1,1996,Michael,Cage,PHI,12,N,82,1247,151,112,208,320,43,48,42,17,118,141,66,41,19,0,0
CAGEMI01,1,1997,Michael,Cage,NJN,13,N,79,1201,106,115,193,308,32,45,44,23,105,84,43,36,20,1,0
CAMBYMA01,1,2007,Marcus,Camby,DEN,11,N,79,2761,723,230,807,1037,259,84,286,118,216,636,287,202,143,20,6
CAMBYMA01,1,2008,Marcus,Camby,LAC,12,N,62,1922,641,161,529,690,127,51,132,93,129,496,254,182,132,4,1
CambyMa01,1,2009,Marcus,Camby,TOT,13,N,74,2314,556,249,622,871,186,95,146,91,161,501,238,122,78,7,2
CAMPBEL01,1,2001,Elden,Campbell,CHA,11,N,77,2156,1074,133,397,530,102,60,137,138,264,794,384,384,306,2,0
CAMPBEL01,1,2002,Elden,Campbell,TOT,12,N,56,869,343,47,134,181,51,33,39,61,129,295,117,136,109,1,0
CAMPBEL01,1,2003,Elden,Campbell,DET,13,N,65,892,361,52,157,209,45,21,50,63,137,314,138,124,85,0,0
CARRAN01,0,1995,Antoine,Carr,UTA,11,N,80,1532,580,71,129,200,74,28,65,78,254,510,233,144,114,3,0
CARRAN01,0,1996,Antoine,Carr,UTA,12,N,82,1460,603,60,135,195,74,24,63,75,214,522,252,127,99,3,0
CARRAN01,0,1997,Antoine,Carr,UTA,13,N,66,1086,378,42,89,131,48,11,53,48,195,325,151,98,76,0,0
CARTWBI01,1,1990,Bill,Cartwright,CHI,11,N,79,2273,760,167,319,486,126,32,15,113,167,649,318,178,124,0,0
CARTWBI01,1,1991,Bill,Cartwright,CHI,12,N,64,1471,512,93,231,324,87,22,14,75,131,445,208,159,96,0,0
