ilkid,position,year,firstname,lastname,team,Season #,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
ABDULKA01,1,1976,Kareem,Abdul-jabbar,LAL,7,N,82,3016,2152,266,824,1090,319,101,261,0,262,1533,888,536,376,0,0
ABDULKA01,1,1977,Kareem,Abdul-jabbar,LAL,8,N,62,2265,1600,186,615,801,269,103,185,208,182,1205,663,350,274,0,0
ABDULKA01,1,1978,Kareem,Abdul-jabbar,LAL,9,N,80,3157,1903,207,818,1025,431,76,316,282,230,1347,777,474,349,0,0
ABDURSH01,0,2003,Shareef,Abdur-rahim,TOT,7,N,85,2685,1384,189,450,639,174,68,37,184,222,1054,501,429,373,34,9
ABDURSH01,0,2004,Shareef,Abdur-Rahim,POR,8,N,54,1868,909,123,269,392,111,49,26,117,150,670,337,254,220,39,15
ABDURSH01,0,2005,Shareef,Abdur-Rahim,SAC,9,N,72,1958,887,106,251,357,149,48,42,108,227,632,332,278,218,22,5
ADAMSAL01,1,1982,Alvan,Adams,PHO,7,N,80,2447,1135,161,387,548,376,114,74,242,287,981,477,217,180,3,1
ADAMSAL01,1,1983,Alvan,Adams,PHO,8,N,70,1452,670,118,201,319,219,73,31,117,195,582,269,160,132,4,0
ADAMSAL01,1,1984,Alvan,Adams,PHO,9,N,82,2136,1202,153,347,500,308,115,48,197,254,915,476,283,250,0,0
ADAMSMI01,2,1992,Michael,Adams,WA1,7,N,70,2499,1035,52,188,240,526,100,4,175,146,831,365,277,237,212,68
ADAMSMI01,2,1993,Michael,Adams,WA1,8,N,70,2337,849,37,146,183,480,96,6,167,140,698,285,270,224,191,55
ADAMSMI01,2,1994,Michael,Adams,CHA,9,N,29,443,188,6,23,29,95,23,1,26,41,148,67,30,25,81,29
AGUIRMA01,0,1988,Mark,Aguirre,TOT,7,N,80,2597,1511,146,240,386,278,45,36,208,229,1270,586,393,288,174,51
AGUIRMA01,0,1989,Mark,Aguirre,DET,8,N,78,2005,1099,117,188,305,145,34,19,121,201,898,438,254,192,93,31
AGUIRMA01,0,1990,Mark,Aguirre,DET,9,N,78,2006,1104,134,240,374,139,47,20,128,209,909,420,317,240,78,24
