ilkid,position,year,firstname,lastname,team,Season #,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
ABDULKA01,1,1983,Kareem,Abdul-jabbar,LAL,14,N,80,2622,1717,169,418,587,211,55,143,221,211,1238,716,394,285,1,0
ABDULKA01,1,1984,Kareem,Abdul-jabbar,LAL,15,N,79,2630,1735,162,460,622,249,63,162,197,238,1207,723,395,289,1,0
ABDULKA01,1,1985,Kareem,Abdul-jabbar,LAL,16,N,79,2629,1846,133,345,478,280,67,130,203,248,1338,755,439,336,2,0
CUMMITE01,0,1996,Terry,Cummings,SEA,14,N,45,828,370,70,113,183,39,33,7,45,113,319,155,82,57,5,3
CUMMITE01,0,1997,Terry,Cummings,TOT,15,N,74,1185,467,97,186,283,47,38,10,51,181,428,200,98,67,1,0
CUMMITE01,0,1998,Terry,Cummings,GSW,16,N,50,1011,454,95,160,255,58,46,10,58,168,424,186,114,81,1,1
EDWARJA01,1,1991,James,Edwards,LAC,14,N,72,1437,698,55,147,202,53,24,33,72,236,538,250,271,198,1,0
EDWARJA01,1,1992,James,Edwards,LAL,15,N,52,617,328,30,70,100,41,10,7,51,122,270,122,118,84,0,0
EDWARJA01,1,1993,James,Edwards,LAL,16,N,45,469,210,11,54,65,22,4,3,30,90,168,78,79,54,0,0
ELLISDA01,2,1997,Dale,Ellis,SEA,14,N,79,1939,932,51,133,184,89,60,5,74,128,700,347,142,111,276,127
ELLISDA01,2,1998,Dale,Ellis,SEA,15,N,48,1232,495,25,90,115,38,25,3,45,77,395,174,70,53,217,94
ELLISDA01,2,1999,Dale,Ellis,TOT,16,N,42,564,178,13,43,56,14,13,0,20,45,159,66,13,9,100,37
EWINGPA01,1,1999,Patrick,Ewing,NYK,14,N,62,2035,929,140,464,604,58,36,84,142,196,775,361,283,207,2,0
EWINGPA01,1,2000,Patrick,Ewing,SEA,15,N,79,2107,760,124,461,585,92,53,91,151,229,684,294,251,172,2,0
EWINGPA01,1,2001,Patrick,Ewing,ORL,16,N,65,904,390,59,203,262,35,22,45,64,129,333,148,134,94,1,0
GILMOAR01,1,1985,Artis,Gilmore,SAS,14,N,71,2395,1184,166,434,600,102,39,108,186,239,684,423,482,338,1,0
GILMOAR01,1,1986,Artis,Gilmore,SAS,15,N,82,2405,934,185,394,579,150,39,95,178,235,580,346,356,242,0,0
GILMOAR01,1,1987,Artis,Gilmore,TOT,16,N,71,893,265,69,142,211,21,15,30,67,148,181,99,128,67,0,0
GRANTHO01,0,2001,Horace,Grant,ORL,14,N,76,2212,608,159,322,481,104,57,49,51,118,515,264,111,80,0,0
GRANTHO01,0,2002,Horace,Grant,ORL,15,N,5,85,26,2,6,8,7,3,0,1,5,25,13,0,0,0,0
GRANTHO01,0,2003,Horace,Grant,LAL,16,N,55,1106,223,79,154,233,71,24,21,29,70,224,92,54,39,1,0
HUNTELI01,2,2007,Lindsey,Hunter,DET,14,N,24,216,58,4,9,13,33,14,2,13,30,64,22,9,7,26,7
HUNTELI01,2,2008,Lindsey,Hunter,CHI,15,N,28,265,73,2,10,12,37,20,1,19,28,82,27,5,3,48,16
HunteLi01,2,2009,Lindsey,Hunter,CHI,16,N,13,122,13,1,13,14,9,1,0,4,12,30,5,2,2,13,1
JACKSMA01,2,2001,Mark,Jackson,NYK,14,N,82,2370,686,56,253,309,605,74,1,150,162,592,260,110,87,195,79
JACKSMA01,2,2002,Mark,Jackson,UTA,15,N,82,1467,382,34,142,176,375,48,3,152,90,369,147,80,61,95,27
JACKSMA01,2,2003,Mark,Jackson,HOU,16,N,42,577,103,10,60,70,119,17,1,53,41,100,34,39,28,41,7
JOHNSED03,0,1995,Eddie,Johnson,IND,14,N,62,1002,475,45,108,153,69,20,4,56,104,436,180,79,70,128,45
