ilkid,position,year,firstname,lastname,team,Season #,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
ABDULKA01,1,1985,Kareem,Abdul-jabbar,LAL,16,N,79,2629,1846,133,345,478,280,67,130,203,248,1338,755,439,336,2,0
ABDULKA01,1,1986,Kareem,Abdul-jabbar,LAL,17,N,78,2441,1366,152,371,523,203,49,97,186,245,993,560,343,245,3,1
ABDULKA01,1,1987,Kareem,Abdul-jabbar,LAL,18,N,80,2308,1165,118,360,478,135,48,92,159,216,903,480,269,205,1,0
EDWARJA01,1,1993,James,Edwards,LAL,16,N,45,469,210,11,54,65,22,4,3,30,90,168,78,79,54,0,0
EDWARJA01,1,1994,James,Edwards,POR,17,N,28,266,75,10,33,43,8,5,8,14,44,83,32,17,11,0,0
EDWARJA01,1,1995,James,Edwards,CHI,18,N,28,274,98,15,25,40,11,1,8,21,61,110,41,26,16,0,0
MAHORRI01,0,1996,Rick,Mahorn,DET,16,N,22,218,56,19,34,53,6,4,3,10,34,54,20,22,16,1,0
MAHORRI01,0,1997,Rick,Mahorn,DET,17,N,59,707,141,65,130,195,15,14,7,37,123,129,59,34,23,0,0
MAHORRI01,0,1998,Rick,Mahorn,PHI,18,N,16,127,13,7,16,23,2,5,1,6,22,18,5,8,3,0,0
MALONKA01,0,2001,Karl,Malone,UTA,16,N,80,3040,1788,142,544,686,341,152,59,263,229,1399,635,639,509,25,9
MALONKA01,0,2002,Karl,Malone,UTA,17,N,81,2936,1667,113,515,628,379,136,31,210,204,1289,595,621,474,14,3
MALONKA01,0,2003,Karl,Malone,LAL,18,N,42,1373,554,61,306,367,163,50,20,103,116,400,193,225,168,1,0
MALONMO01,1,1990,Moses,Malone,ATL,16,N,82,1912,869,271,396,667,68,30,74,137,134,598,280,372,309,7,0
MALONMO01,1,1991,Moses,Malone,MIL,17,N,82,2511,1279,320,424,744,93,74,64,150,136,929,440,504,396,8,3
MALONMO01,1,1992,Moses,Malone,MIL,18,N,11,104,50,22,24,46,7,1,8,10,6,42,13,31,24,0,0
OAKLECH01,0,2001,Charles,Oakley,CHI,16,N,57,1385,216,72,271,343,114,49,11,87,175,263,97,28,21,6,1
OAKLECH01,0,2002,Charles,Oakley,WAS,17,N,42,514,74,37,70,107,40,13,6,21,90,55,23,34,28,0,0
OAKLECH01,0,2003,Charles,Oakley,HOU,18,N,7,25,9,0,5,5,2,0,0,1,8,6,2,6,5,0,0
PARISRO01,1,1992,Robert,Parish,BOS,16,N,79,2146,994,246,494,740,61,57,107,120,201,777,416,235,162,0,0
PARISRO01,1,1993,Robert,Parish,BOS,17,N,74,1987,866,141,401,542,82,42,96,108,190,725,356,208,154,0,0
PARISRO01,1,1994,Robert,Parish,CHA,18,N,81,1360,389,93,257,350,44,27,36,66,132,372,159,101,71,0,0
STOCKJO01,2,2000,John,Stockton,UTA,16,N,82,2397,944,54,173,227,713,132,21,203,194,651,328,278,227,132,61
STOCKJO01,2,2001,John,Stockton,UTA,17,N,82,2567,1102,58,204,262,674,152,24,207,209,775,401,321,275,78,25
STOCKJO01,2,2002,John,Stockton,UTA,18,N,82,2275,884,51,150,201,629,137,16,182,184,640,309,287,237,80,29
WILLIKE01,0,2000,Kevin,Willis,TOT,16,N,78,1830,722,177,355,532,50,57,52,87,216,690,304,147,113,6,1
WILLIKE01,0,2001,Kevin,Willis,HOU,17,N,52,863,315,105,194,299,14,25,23,41,98,284,125,87,65,1,0
WILLIKE01,0,2002,Kevin,Willis,SAS,18,N,71,840,297,83,143,226,24,20,20,60,120,257,123,83,51,2,0
