ilkid,position,year,firstname,lastname,team,Season #,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
DANIEAN01,2,2007,Antonio,Daniels,WAS,10,N,71,2160,600,23,180,203,340,69,2,92,78,448,206,219,170,75,18
DANIEAN01,2,2008,Antonio,Daniels,TOT,11,N,74,1025,300,5,72,77,177,26,1,62,55,236,99,100,80,60,22
DANTLAD01,0,1985,Adrian,Dantley,UTA,9,N,76,2744,2267,178,217,395,264,64,4,231,206,1453,818,796,630,11,1
DANTLAD01,0,1986,Adrian,Dantley,DET,10,N,81,2736,1742,104,228,332,162,63,7,181,193,1126,601,664,539,6,1
DANTLAD01,0,1987,Adrian,Dantley,DET,11,N,69,2144,1380,84,143,227,171,39,10,135,144,863,444,572,492,2,0
DAVISAN01,0,2002,Antonio,Davis,TOR,9,N,53,1894,738,130,307,437,131,23,62,118,150,641,261,280,216,0,0
DAVISAN01,0,2003,Antonio,Davis,TOT,10,N,80,2571,708,207,464,671,137,37,65,114,206,660,266,230,176,0,0
DAVISAN01,0,2004,Antonio,Davis,CHI,11,N,72,1844,501,152,276,428,80,27,41,96,147,419,193,152,115,0,0
DAVISBR01,2,1986,Brad,Davis,DAL,9,N,82,1582,577,27,87,114,373,63,10,114,159,436,199,171,147,106,32
DAVISBR01,2,1987,Brad,Davis,DAL,10,N,75,1480,537,18,84,102,303,51,18,91,149,415,208,108,91,74,30
DAVISBR01,2,1988,Brad,Davis,DAL,11,N,78,1395,497,14,94,108,242,48,18,92,151,379,183,123,99,102,32
DAVISDA01,0,2000,Dale,Davis,POR,9,N,81,2162,580,233,373,606,103,44,76,67,199,487,242,152,96,4,0
DAVISDA01,0,2001,Dale,Davis,POR,10,N,78,2449,742,262,426,688,96,62,83,62,193,580,296,212,150,0,0
DAVISDA01,0,2002,Dale,Davis,POR,11,N,78,2282,579,233,331,564,94,51,70,71,189,438,237,166,105,0,0
DAVISHU01,2,2001,Hubert,Davis,WAS,9,N,51,1229,365,7,70,77,107,28,3,44,58,326,146,21,16,126,57
DAVISHU01,2,2002,Hubert,Davis,DET,10,N,43,328,79,6,30,36,29,5,0,11,23,79,31,6,5,36,12
DAVISHU01,2,2003,Hubert,Davis,TOT,11,N,17,79,4,2,6,8,4,2,0,3,12,11,1,2,2,1,0
DAVISRI01,2,2007,Ricky,Davis,MIA,9,N,82,2960,1130,55,298,353,276,87,14,191,187,972,420,197,155,334,135
DAVISRI01,2,2008,Ricky,Davis,LAC,10,N,36,789,232,9,51,60,82,19,5,39,63,245,83,36,31,111,35
DavisRi01,2,2009,Ricky,Davis,LAC,11,N,36,499,158,10,47,57,39,11,3,29,39,143,62,31,18,42,16
DAVISWA03,2,1986,Walter,Davis,PHO,9,N,79,2646,1867,90,154,244,364,96,5,226,184,1515,779,334,288,81,21
DAVISWA03,2,1987,Walter,Davis,PHO,10,N,68,1951,1217,32,127,159,278,86,3,126,131,1031,488,231,205,96,36
DAVISWA03,2,1988,Walter,Davis,DEN,11,N,81,1857,1267,41,110,151,190,72,5,132,187,1076,536,199,175,69,20
DAWKIDA01,1,1984,Darryl,Dawkins,NJN,9,N,39,972,527,55,126,181,45,14,35,93,171,339,192,201,143,1,0
DAWKIDA01,1,1985,Darryl,Dawkins,NJN,10,N,51,1207,778,85,166,251,77,16,59,124,227,441,284,297,210,1,0
DAWKIDA01,1,1986,Darryl,Dawkins,NJN,11,N,6,106,57,9,10,19,2,2,3,15,25,32,20,24,17,0,0
DELNEVI01,2,1997,Vinny,Delnegro,SAS,9,N,54,1721,513,13,139,152,183,39,6,53,113,479,211,93,74,39,17
DELNEVI01,2,1998,Vinny,Delnegro,MIL,10,N,48,1093,281,14,88,102,174,33,3,55,62,270,114,50,40,30,13
DELNEVI01,2,1999,Vinny,Delnegro,MIL,11,N,67,1211,349,9,98,107,160,36,0,48,81,325,153,39,35,24,8
DIETRCO01,1,1979,Coby,Dietrick,CHI,9,N,79,1830,545,101,262,363,216,89,51,112,230,500,227,118,90,9,1
