ilkid,position,year,firstname,lastname,team,Season #,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
ABDULKA01,1,1981,Kareem,Abdul-jabbar,LAL,12,N,76,2677,1818,172,487,659,225,63,207,230,224,1301,753,442,312,3,0
ABDULKA01,1,1982,Kareem,Abdul-jabbar,LAL,13,N,79,2554,1722,167,425,592,200,61,170,200,220,1228,722,371,278,2,0
ABDULKA01,1,1983,Kareem,Abdul-jabbar,LAL,14,N,80,2622,1717,169,418,587,211,55,143,221,211,1238,716,394,285,1,0
AUGMOST01,2,2003,Stacey,Augmon,NOH,12,N,69,1415,397,52,122,174,85,55,15,76,114,347,143,139,110,7,1
AUGMOST01,2,2004,Stacey,Augmon,ORL,13,N,55,663,193,45,54,99,36,23,8,31,83,167,68,77,57,0,0
AUGMOST01,2,2005,Stacey,Augmon,ORL,14,N,36,389,71,18,35,53,23,12,6,11,40,73,25,30,21,0,0
BARKLCH01,0,1996,Charles,Barkley,HOU,12,N,53,2009,1016,212,504,716,248,69,25,151,153,692,335,415,288,205,58
BARKLCH01,0,1997,Charles,Barkley,HOU,13,N,68,2243,1036,241,553,794,217,71,28,147,187,744,361,397,296,84,18
BARKLCH01,0,1998,Charles,Barkley,HOU,14,N,42,1526,676,167,349,516,192,43,13,100,89,502,240,267,192,25,4
BARRYRI01,0,1977,Rick,Barry,GSW,12,N,82,3024,1898,75,374,449,446,158,45,224,188,1686,760,409,378,0,0
BARRYRI01,0,1978,Rick,Barry,HOU,13,N,80,2566,1082,40,237,277,502,95,38,198,195,1000,461,169,160,0,0
BARRYRI01,0,1979,Rick,Barry,HOU,14,N,72,1816,866,53,183,236,268,80,28,152,182,771,325,153,143,221,73
BENJABE01,1,1997,Benoit,Benjamin,PHI,12,N,14,197,63,18,35,53,3,4,4,12,26,41,22,30,19,0,0
BENJABE01,1,1998,Benoit,Benjamin,PHI,13,N,6,33,4,3,5,8,1,0,0,3,6,7,2,0,0,0,0
BENJABE01,1,1999,Benoit,Benjamin,CLE,14,N,3,8,2,0,1,1,0,0,1,0,1,3,1,0,0,0,0
BROWNPJ01,0,2005,P.J.,Brown,NOO,12,N,75,2382,677,182,365,547,90,46,50,90,216,583,269,168,139,0,0
BROWNPJ01,0,2006,P.J.,Brown,CHI,13,N,72,1453,436,129,218,347,48,24,52,85,187,418,170,122,96,2,0
BROWNPJ01,0,2007,P.J.,Brown,BOS,14,N,18,208,39,29,39,68,10,5,8,10,29,41,14,16,11,1,0
BRYANMA01,0,2000,Mark,Bryant,DAL,12,N,18,101,19,4,17,21,3,1,2,5,29,20,8,5,3,0,0
BRYANMA01,0,2001,Mark,Bryant,SAS,13,N,30,207,56,25,20,45,10,7,2,6,38,55,25,8,6,0,0
BRYANMA01,0,2002,Mark,Bryant,TOT,14,N,16,100,13,8,12,20,4,1,1,7,18,19,5,4,3,0,0
CAMPBEL01,1,2002,Elden,Campbell,TOT,12,N,56,869,343,47,134,181,51,33,39,61,129,295,117,136,109,1,0
CAMPBEL01,1,2003,Elden,Campbell,DET,13,N,65,892,361,52,157,209,45,21,50,63,137,314,138,124,85,0,0
CAMPBEL01,1,2004,Elden,Campbell,TOT,14,N,41,390,120,28,65,93,19,8,7,29,57,123,39,55,42,2,0
CARRAN01,0,1996,Antoine,Carr,UTA,12,N,82,1460,603,60,135,195,74,24,63,75,214,522,252,127,99,3,0
CARRAN01,0,1997,Antoine,Carr,UTA,13,N,66,1086,378,42,89,131,48,11,53,48,195,325,151,98,76,0,0
CARRAN01,0,1998,Antoine,Carr,HOU,14,N,18,152,47,9,22,31,9,1,10,9,31,52,21,7,5,1,0
CARTWBI01,1,1991,Bill,Cartwright,CHI,12,N,64,1471,512,93,231,324,87,22,14,75,131,445,208,159,96,0,0
CARTWBI01,1,1992,Bill,Cartwright,CHI,13,N,63,1253,354,83,150,233,83,20,10,62,154,343,141,98,72,0,0
CARTWBI01,1,1993,Bill,Cartwright,CHI,14,N,42,780,235,43,109,152,57,8,8,50,83,191,98,57,39,0,0
CASSESA01,2,2005,Sam,Cassell,LAC,12,N,78,2656,1345,40,247,287,491,74,11,175,225,1112,493,335,289,190,70
CASSESA01,2,2006,Sam,Cassell,LAC,13,N,58,1411,714,27,140,167,270,28,8,101,126,625,261,182,160,109,32
CASSESA01,2,2007,Sam,Cassell,TOT,14,N,55,1273,616,17,119,136,214,37,6,98,98,532,233,144,127,76,23
CHEEKMA01,2,1990,Maurice,Cheeks,NYK,12,N,76,2147,592,22,151,173,435,128,10,108,138,483,241,129,105,20,5
CHEEKMA01,2,1991,Maurice,Cheeks,ATL,13,N,56,1086,259,29,66,95,185,83,0,36,73,249,115,43,26,6,3
CHEEKMA01,2,1992,Maurice,Cheeks,NJN,14,N,35,510,126,5,37,42,107,33,2,33,35,93,51,27,24,2,0
