ilkid,position,year,firstname,lastname,team,Season #,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
ABDELAL01,0,1991,Alaa,Abdelnaby,POR,1,N,71,934,432,81,179,260,30,25,16,66,132,361,178,101,76,0,0
ABDELAL01,0,1992,Alaa,Abdelnaby,TOT,2,N,75,1311,578,126,211,337,27,25,26,97,189,473,245,116,88,1,0
ABDELAL01,0,1993,Alaa,Abdelnaby,BOS,3,N,13,159,64,12,34,46,3,2,3,17,20,55,24,25,16,0,0
ABDULMA01,2,1991,Mahmo,Abdul-rauf,DEN,1,N,81,1538,837,22,92,114,192,44,4,117,130,845,356,108,94,94,31
ABDULMA01,2,1992,Mahmo,Abdul-rauf,DEN,2,N,81,2710,1553,51,174,225,344,84,8,187,179,1407,633,232,217,197,70
ABDULMA01,2,1993,Mahmo,Abdul-rauf,DEN,3,N,80,2617,1437,27,141,168,362,82,10,151,150,1279,588,229,219,133,42
ABDULTA01,2,1998,Tariq,Abdul-wahad,SAC,1,N,49,1205,454,72,114,186,50,50,16,70,121,407,177,136,94,21,6
ABDULTA01,2,1999,Tariq,Abdul-wahad,TOT,2,N,61,1578,697,101,190,291,98,59,28,106,147,646,274,193,146,23,3
ABDULTA01,2,2000,Tariq,Abdul-wahad,DEN,3,N,29,420,111,14,45,59,22,14,13,34,54,111,43,36,21,10,4
ABDURSH01,0,1997,Shareef,Abdur-rahim,VAN,1,N,82,2955,1829,227,354,581,213,89,76,257,201,1347,653,640,502,51,21
ABDURSH01,0,1998,Shareef,Abdur-rahim,VAN,2,N,50,2021,1152,114,260,374,172,69,55,186,137,893,386,439,369,36,11
ABDURSH01,0,1999,Shareef,Abdur-rahim,VAN,3,N,82,3223,1663,218,607,825,271,89,87,249,244,1277,594,551,446,96,29
ABERNTO01,0,1977,Tom,Abernethy,LAL,1,N,73,1317,493,105,160,265,101,55,22,50,122,404,201,111,91,0,0
ABERNTO01,0,1978,Tom,Abernethy,GSW,2,N,70,1219,422,74,142,216,79,39,13,32,133,342,176,94,70,0,0
ABERNTO01,0,1979,Tom,Abernethy,GSW,3,N,67,1222,362,62,129,191,87,35,12,39,118,318,153,82,56,1,0
ACRESMA01,1,1988,Mark,Acres,BOS,1,N,62,632,137,59,87,146,19,19,6,23,94,114,55,48,26,1,1
ACRESMA01,1,1989,Mark,Acres,ORL,2,N,80,1691,362,154,277,431,67,36,25,70,248,285,138,120,83,4,3
ACRESMA01,1,1990,Mark,Acres,ORL,3,N,68,1313,285,140,219,359,25,25,25,42,218,214,109,101,66,3,1
ADAMSAL01,1,1976,Alvan,Adams,PHO,1,N,72,2278,1296,180,472,652,322,95,87,0,260,1102,522,334,252,0,0
ADAMSAL01,1,1977,Alvan,Adams,PHO,2,N,70,1914,1082,158,407,565,225,86,63,234,242,895,434,293,214,0,0
ADAMSAL01,1,1978,Alvan,Adams,PHO,3,N,77,2364,1369,220,485,705,360,110,63,279,246,1073,569,289,231,0,0
