ilkid,position,year,firstname,lastname,team,Season #,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
MALONMO01,1,1992,Moses,Malone,MIL,18,N,11,104,50,22,24,46,7,1,8,10,6,42,13,31,24,0,0
MALONMO01,1,1993,Moses,Malone,PHI,19,N,55,618,294,106,120,226,34,11,17,59,52,232,102,117,90,1,0
MALONMO01,1,1994,Moses,Malone,SAS,20,N,17,149,49,20,26,46,6,2,2,11,15,35,13,32,22,2,1
PARISRO01,1,1994,Robert,Parish,CHA,18,N,81,1360,389,93,257,350,44,27,36,66,132,372,159,101,71,0,0
PARISRO01,1,1995,Robert,Parish,CHA,19,N,74,1086,290,89,214,303,29,21,54,50,80,241,120,71,50,0,0
PARISRO01,1,1996,Robert,Parish,CHI,20,N,43,406,161,42,47,89,22,6,19,28,40,143,70,31,21,0,0
WILLIKE01,0,2002,Kevin,Willis,SAS,18,N,71,840,297,83,143,226,24,20,20,60,120,257,123,83,51,2,0
WILLIKE01,0,2003,Kevin,Willis,SAS,19,N,48,373,164,37,61,98,11,21,9,32,61,150,70,39,24,1,0
WILLIKE01,0,2004,Kevin,Willis,ATL,20,N,29,344,87,29,47,76,9,8,7,15,53,90,35,23,17,2,0
