ilkid,position,year,firstname,lastname,team,Season #,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
ABDELAL01,0,1990,Alaa,Abdelnaby,POR,0,N,43,290,135,27,62,89,12,4,12,22,39,116,55,44,25,0,0
ABDELAL01,0,1991,Alaa,Abdelnaby,POR,1,N,71,934,432,81,179,260,30,25,16,66,132,361,178,101,76,0,0
ABDELAL01,0,1992,Alaa,Abdelnaby,TOT,2,N,75,1311,578,126,211,337,27,25,26,97,189,473,245,116,88,1,0
ABDULMA01,2,1990,Mahmo,Abdul-rauf,DEN,0,N,67,1505,942,34,87,121,206,55,4,110,149,1009,417,98,84,100,24
ABDULMA01,2,1991,Mahmo,Abdul-rauf,DEN,1,N,81,1538,837,22,92,114,192,44,4,117,130,845,356,108,94,94,31
ABDULMA01,2,1992,Mahmo,Abdul-rauf,DEN,2,N,81,2710,1553,51,174,225,344,84,8,187,179,1407,633,232,217,197,70
ABDULTA01,2,1997,Tariq,Abdul-wahad,SAC,0,N,59,959,376,44,72,116,51,35,12,65,81,357,144,125,84,19,4
ABDULTA01,2,1998,Tariq,Abdul-wahad,SAC,1,N,49,1205,454,72,114,186,50,50,16,70,121,407,177,136,94,21,6
ABDULTA01,2,1999,Tariq,Abdul-wahad,TOT,2,N,61,1578,697,101,190,291,98,59,28,106,147,646,274,193,146,23,3
ABDURSH01,0,1996,Shareef,Abdur-rahim,VAN,0,N,80,2802,1494,216,339,555,175,79,79,225,199,1214,550,519,387,27,7
ABDURSH01,0,1997,Shareef,Abdur-rahim,VAN,1,N,82,2955,1829,227,354,581,213,89,76,257,201,1347,653,640,502,51,21
ABDURSH01,0,1998,Shareef,Abdur-rahim,VAN,2,N,50,2021,1152,114,260,374,172,69,55,186,137,893,386,439,369,36,11
ABERNTO01,0,1976,Tom,Abernethy,LAL,0,N,70,1378,439,113,178,291,98,49,10,0,118,349,169,134,101,0,0
ABERNTO01,0,1977,Tom,Abernethy,LAL,1,N,73,1317,493,105,160,265,101,55,22,50,122,404,201,111,91,0,0
ABERNTO01,0,1978,Tom,Abernethy,GSW,2,N,70,1219,422,74,142,216,79,39,13,32,133,342,176,94,70,0,0
ACRESMA01,1,1987,Mark,Acres,BOS,0,N,79,1151,287,105,165,270,42,29,27,54,198,203,108,111,71,0,0
ACRESMA01,1,1988,Mark,Acres,BOS,1,N,62,632,137,59,87,146,19,19,6,23,94,114,55,48,26,1,1
ACRESMA01,1,1989,Mark,Acres,ORL,2,N,80,1691,362,154,277,431,67,36,25,70,248,285,138,120,83,4,3
ADAMSAL01,1,1975,Alvan,Adams,PHO,0,N,80,2656,1519,215,512,727,450,121,116,0,274,1341,629,355,261,0,0
ADAMSAL01,1,1976,Alvan,Adams,PHO,1,N,72,2278,1296,180,472,652,322,95,87,0,260,1102,522,334,252,0,0
ADAMSAL01,1,1977,Alvan,Adams,PHO,2,N,70,1914,1082,158,407,565,225,86,63,234,242,895,434,293,214,0,0
ADAMSMI01,2,1985,Michael,Adams,SAC,0,N,18,139,40,2,4,6,22,9,1,11,9,44,16,12,8,3,0
ADAMSMI01,2,1986,Michael,Adams,WA1,1,N,63,1303,453,38,85,123,244,85,6,81,88,393,160,124,105,102,28
ADAMSMI01,2,1987,Michael,Adams,DEN,2,N,82,2778,1137,40,183,223,503,168,16,144,138,927,416,199,166,379,139
AfflaAr01,2,2007,Arron,Afflalo,DET,0,N,75,976,276,36,101,137,52,31,8,34,83,241,99,87,68,48,10
AfflaAr01,2,2008,Arron,Afflalo,DET,1,N,74,1235,363,30,104,134,44,28,13,43,144,300,131,71,58,107,43
AfflaAr01,2,2009,Arron,Afflalo,DEN,2,N,82,2230,724,59,193,252,138,46,30,74,225,585,272,98,72,249,108
AgerMa01,2,2006,Maurice,Ager,DAL,0,N,31,210,69,1,20,21,7,4,3,15,26,69,22,33,20,15,5
AgerMa01,2,2007,Maurice,Ager,TOT,1,N,26,164,51,4,9,13,8,0,1,6,17,65,21,12,6,19,3
AgerMa01,2,2008,Maurice,Ager,NJN,2,N,20,95,34,3,7,10,3,1,2,4,17,43,15,8,4,6,0
AGUIRMA01,0,1981,Mark,Aguirre,DAL,0,N,51,1468,955,89,160,249,164,37,22,135,152,820,381,247,168,71,25
AGUIRMA01,0,1982,Mark,Aguirre,DAL,1,N,81,2784,1979,191,317,508,332,80,26,261,247,1589,767,589,429,76,16
AGUIRMA01,0,1983,Mark,Aguirre,DAL,2,N,79,2900,2330,161,308,469,358,80,22,285,246,1765,925,621,465,56,15
AINGEDA01,2,1981,Danny,Ainge,BOS,0,N,53,564,219,25,31,56,87,37,3,53,86,221,79,65,56,17,5
AINGEDA01,2,1982,Danny,Ainge,BOS,1,N,80,2048,791,83,131,214,251,109,6,98,259,720,357,97,72,29,5
AINGEDA01,2,1983,Danny,Ainge,BOS,2,N,71,1154,384,29,87,116,162,41,4,70,143,361,166,56,46,22,6
ALARIMA01,0,1986,Mark,Alarie,DEN,0,N,64,1110,503,73,141,214,74,22,28,56,138,443,217,101,67,9,2
